City,State,Walk Score,Transit Score,Bike Score,Population
Winston-Salem,NC,23.4,--,29.2,"229,617"
Wichita,KS,35.3,19.7,47.5,"382,368"
Washington D.C.,DC,75.9,70.7,69.1,"601,723"
Virginia Beach,VA,32.1,20.6,44,"437,994"
Tulsa,OK,38.9,22.7,47.2,"391,906"
Tucson,AZ,42.2,35.1,66.9,"520,116"
Toledo,OH,45.3,--,49.6,"287,208"
Tampa,FL,49.4,33.5,56.9,"335,709"
Stockton,CA,42.7,27.8,56.5,"291,707"
St. Petersburg,FL,43.7,34.7,61.1,"244,769"
St. Paul,MN,59.8,47.8,66.9,"285,068"
St. Louis,MO,65.5,45.3,61.9,"319,294"
Spokane,WA,48.6,35.7,52.1,"208,916"
Seattle,WA,74,60.1,70.3,"608,660"
Scottsdale,AZ,31.3,25.6,56.4,"217,385"
Santa Ana,CA,66.3,45.1,61,"324,528"
San Jose,CA,49,41.2,61.5,"945,942"
San Francisco,CA,87.4,80.3,72.2,"805,235"
San Diego,CA,51.3,36.9,43,"1,307,402"
San Bernardino,CA,43.4,35.4,43.6,"209,924"
San Antonio,TX,34.8,35.7,44.5,"1,327,407"
Sacramento,CA,45.3,33.9,68.1,"466,488"
Rochester,NY,64.9,43.2,60.6,"210,565"
Riverside,CA,41.9,32.6,49.5,"303,871"
Richmond,VA,52.2,--,52.1,"204,214"
Reno,NV,38.1,27.6,52,"225,221"
Raleigh,NC,30.5,29.9,41.3,"403,892"
Portland,OR,66.6,51.6,82.4,"583,776"
Plano,TX,39.5,17.3,55,"259,841"
Pittsburgh,PA,62.9,56,57.3,"305,704"
Phoenix,AZ,41,36,55.9,"1,445,632"
Philadelphia,PA,78.8,66.8,67.4,"1,526,006"
Paradise,NV,48.4,38.1,54.2,"223,167"
Orlando,FL,41.1,32.6,59.9,"238,300"
Omaha,NE,46.8,26.9,43.9,"408,958"
Oklahoma City,OK,33.6,16.5,43.2,"579,999"
Oakland,CA,73.8,56.2,65.4,"390,724"
North Las Vegas,NV,33.1,31.8,48.5,"216,961"
Norfolk,VA,45,35.6,51.3,"242,803"
Newark,NJ,78.8,65.1,60.6,"277,140"
New York,NY,88.3,84.3,70,"8,175,133"
New Orleans,LA,58.9,43.9,66.4,"343,829"
Nashville-Davidson,TN,28.3,24.3,29.7,"601,222"
Montgomery,AL,26.1,16.4,38.3,"205,764"
Minneapolis,MN,70.5,57,83.5,"382,578"
Milwaukee,WI,62.7,48.4,59.1,"594,833"
Miami,FL,77.6,56.8,65.5,"399,457"
Mesa,AZ,37.3,27.1,60.6,"439,041"
Memphis,TN,36.1,--,43.6,"646,889"
Madison,WI,48.3,38.6,65.1,"233,209"
Lubbock,TX,38.2,22,48.6,"229,573"
Louisville-Jefferson,KY,33.9,28.2,43.3,"597,337"
Los Angeles,CA,68.2,52.6,58.7,"3,792,621"
Long Beach,CA,72.4,51.7,68.9,"462,257"
Lincoln,NE,42.7,24.3,60.6,"258,379"
Lexington-Fayette,KY,33.6,23.8,45.7,"295,803"
Las Vegas,NV,40.6,33.9,46.5,"583,756"
Laredo,TX,41.4,--,44.5,"236,091"
Kansas City,MO,34.7,29,35,"459,787"
Jersey City,NJ,86.8,70.6,70.3,"247,597"
Jacksonville,FL,25.7,23,42.7,"821,784"
Irving,TX,43.8,31.3,45.7,"216,290"
Irvine,CA,42.5,27.1,69.4,"212,375"
Indianapolis,IN,30.5,23.3,45.4,"820,445"
Houston,TX,47.9,36.9,50.7,"2,099,451"
Honolulu,HI,64.6,57.3,51,"337,256"
Hialeah,FL,68.7,39,58.2,"224,669"
Henderson,NV,29,23.7,43.5,"257,729"
Greensboro,NC,29.3,--,35.2,"269,666"
Glendale,AZ,40.2,34.2,58.6,"226,721"
Gilbert,AZ,28.3,15.1,53.8,"208,453"
Garland,TX,39.7,29.3,45.4,"226,876"
Fresno,CA,44.9,31.5,59.4,"494,665"
Fremont,CA,48.3,36.1,54.4,"214,089"
Fort Worth,TX,34.7,20.9,41.1,"741,206"
Fort Wayne,IN,30.1,21.7,46.9,"253,691"
Fayetteville,NC,21.4,--,33.2,"200,564"
El Paso,TX,40.9,30.7,42,"649,121"
Durham,NC,29,29.4,41.4,"228,330"
Detroit,MI,53.2,38.8,54.9,"713,777"
Des Moines,IA,44.9,30,41.7,"203,433"
Denver,CO,61,47.5,72.6,"600,158"
Dallas,TX,46,39.7,51.4,"1,197,816"
Corpus Christi,TX,40.5,29.7,48.5,"305,215"
Columbus,OH,40.5,32.8,49.9,"787,033"
Colorado Springs,CO,35,18.7,44.7,"416,427"
Cleveland,OH,59.5,44.6,55.2,"396,815"
Cincinnati,OH,49.8,43.6,43.3,"296,943"
Chula Vista,CA,43.2,35.7,41.2,"243,916"
Chicago,IL,77.4,65.3,73.2,"2,695,598"
Chesapeake,VA,21,13.2,40.3,"222,209"
Charlotte,NC,26.3,28.7,33.9,"731,424"
Chandler,AZ,34.6,24.3,57.5,"236,123"
Buffalo,NY,67.5,49.2,65.4,"261,310"
Boston,MA,82,72.5,70.5,"617,594"
Boise City,ID,39.5,22.5,62.4,"205,671"
Birmingham,AL,35.4,25.3,30.7,"212,237"
Baton Rouge,LA,40.8,--,46.7,"229,493"
Baltimore,MD,64.8,56.9,56,"620,961"
Bakersfield,CA,34.1,27.4,43.7,"347,483"
Austin,TX,41.1,33.5,54,"790,390"
Aurora,CO,43.1,38.3,55.4,"325,078"
Atlanta,GA,47.8,47.2,44.7,"420,003"
Arlington,TX,37.8,0.3,41,"365,438"
Arlington,VA,69.2,61.7,71.7,"207,627"
Anchorage,AK,27.8,21.2,51.8,"291,826"
Anaheim,CA,54.8,37,52.3,"336,265"
Albuquerque,NM,41.6,30,62.1,"545,852"
