S.no,"City,State",Crime Index,Safety index
1,"Albuquerque, NM",70.61,29.39
2,"Anchorage, AK",62.79,37.21
3,"Atlanta, GA",63.23,36.77
4,"Austin, TX",34.15,65.85
5,"Baltimore, MD",74.87,25.13
6,"Boise, ID",37.48,62.52
7,"Boston, MA",35.67,64.33
8,"Brooklyn, NY",37.34,62.66
9,"Buffalo, NY",45.51,54.49
10,"Charlotte, NC",44.33,55.67
11,"Chicago, IL",64.23,35.77
12,"Cincinnati, OH",49.45,50.55
13,"Cleveland, OH",64.1,35.9
14,"Columbus, OH",42.13,57.87
15,"Dallas, TX",49.59,50.41
16,"Denver, CO",41.92,58.08
17,"Detroit, MI",73.41,26.59
18,"El Paso, TX",31.01,68.99
19,"Honolulu, HI",44.66,55.34
20,"Houston, TX",64.23,35.77
21,"Indianapolis, IN",56.94,43.06
22,"Irvine, CA",19.3,80.7
23,"Jacksonville, FL",57.23,42.77
24,"Kansas City, MO",59.65,40.35
25,"Las Vegas, NV",55.79,44.21
26,"Los Angeles, CA",46.47,53.53
27,"Louisville, KY",52.63,47.37
28,"Madison, WI",31.44,68.56
29,"Memphis, TN",74.71,25.29
30,"Miami, FL",52.71,47.29
31,"Milwaukee, WI",66.17,33.83
32,"Minneapolis, MN",50.12,49.88
33,"Nashville, TN",48.56,51.44
34,"New Orleans, LA",64.55,35.45
35,"New York, NY",45.68,54.32
36,"Oakland, CA",65.01,34.99
37,"Omaha, NE",45.99,54.01
38,"Orlando, FL",52.01,47.99
39,"Philadelphia, PA",60.84,39.16
40,"Phoenix, AZ",51.68,48.32
41,"Pittsburgh, PA",37.95,62.05
42,"Portland, OR",48.27,51.73
43,"Raleigh, NC",33.83,66.17
44,"Richmond, VA",45.04,54.96
45,"Riverside, CA",39.32,60.68
46,"Sacramento, CA",49.61,50.39
47,"Saint Louis, MO",71.23,28.77
48,"Salt Lake City, UT",31.76,68.24
49,"San Antonio, TX",47.64,52.36
50,"San Diego, CA",36.67,63.33
51,"San Francisco, CA",54.93,45.07
52,"San Jose, CA",44.35,55.65
53,"Seattle, WA",47.63,52.37
54,"Spokane, WA",53.1,46.9
55,"Tampa, FL",48.8,51.2
56,"Tucson, AZ",50.53,49.47
57,"Washington, DC",57.67,42.33
